event,type,method,peak_z,peak_day,ref_null_mu,ref_null_sd
COVID,crisis,gaussian,0.9665402505523115,6,16.682650754692748,9.074583599863756
COVID,crisis,t,3.774591583374151,0,17.13446881892417,9.37073350314159
COVID,crisis,mps_chi2,1.0473388275447715,0,-79.66496979685432,18.80243676207469
COVID,crisis,mps_chi4,-0.19442212156961672,3,-70.34198915353775,16.91879847480441
COVID,crisis,mps_chi8,-1.033719443126788,3,-56.7257179958225,15.639670693429876
TerraLuna,crisis,gaussian,-0.42968654267720213,10,13.540816041021055,8.359696076295005
TerraLuna,crisis,t,-0.7506177213189158,7,16.620538124389373,8.226052666231139
TerraLuna,crisis,mps_chi2,-2.0895859216096992,14,-63.43520118203203,16.29946016833887
TerraLuna,crisis,mps_chi4,-1.2192336704714715,14,-48.615869425047386,15.991230461764898
TerraLuna,crisis,mps_chi8,-1.7270987874400274,10,-42.46479402417264,14.804795284667815
SVB,crisis,gaussian,-15.221280016201849,1,20.047615927320727,6.847634856563627
SVB,crisis,t,-6.078581639802564,1,20.06528369236203,7.09245697286263
SVB,crisis,mps_chi2,-1.6022804048912764,10,-70.14783390235172,12.870267342169699
SVB,crisis,mps_chi4,-2.1206316536133203,10,-68.64908855802332,13.011860394450622
SVB,crisis,mps_chi8,-3.468631055142081,10,-51.17121575304483,12.117297288394605
Q-NC-2,quiet,gaussian,-0.7789873437397918,7,14.403866400103349,5.948365043814987
Q-NC-2,quiet,t,-0.8772283224147148,7,14.878868133510945,6.108209411342563
Q-NC-2,quiet,mps_chi2,-1.1980188758427812,3,-80.83149739992744,19.018758589071442
Q-NC-2,quiet,mps_chi4,-1.2321555722984816,3,-80.52847177179319,18.737777868317732
Q-NC-2,quiet,mps_chi8,-1.8714722119299385,2,-69.34226129423413,18.313960352717768
Q-NC-3,quiet,gaussian,-1.1317115319198379,2,17.899664682022514,5.830704645680511
Q-NC-3,quiet,t,-1.1743565570985575,2,18.041065314517336,6.047491136714848
Q-NC-3,quiet,mps_chi2,-1.4632609084963764,10,-68.16683226333153,15.178107121682128
Q-NC-3,quiet,mps_chi4,-2.0420466016254815,13,-62.681698933740385,12.84158922465974
Q-NC-3,quiet,mps_chi8,-2.5565855736190053,11,-54.0224829475041,12.05874625458474
