ts_ns,symbol,price
1546387200000000000,BTC-USD,3943.409423828125
1546473600000000000,BTC-USD,3836.7412109375
1546560000000000000,BTC-USD,3857.717529296875
1546646400000000000,BTC-USD,3845.194580078125
1546732800000000000,BTC-USD,4076.632568359375
1546819200000000000,BTC-USD,4025.248291015625
1546905600000000000,BTC-USD,4030.847900390625
1546992000000000000,BTC-USD,4035.29638671875
1547078400000000000,BTC-USD,3678.924560546875
1547164800000000000,BTC-USD,3687.365478515625
1547251200000000000,BTC-USD,3661.301025390625
1547337600000000000,BTC-USD,3552.953125
1547424000000000000,BTC-USD,3706.05224609375
1547510400000000000,BTC-USD,3630.67529296875
1547596800000000000,BTC-USD,3655.0068359375
1547683200000000000,BTC-USD,3678.56396484375
1547769600000000000,BTC-USD,3657.83935546875
1547856000000000000,BTC-USD,3728.568359375
1547942400000000000,BTC-USD,3601.013671875
1548115200000000000,BTC-USD,3604.5771484375
1548201600000000000,BTC-USD,3585.123046875
1548288000000000000,BTC-USD,3600.865478515625
1548374400000000000,BTC-USD,3599.765869140625
1548460800000000000,BTC-USD,3602.46044921875
1548547200000000000,BTC-USD,3583.9658203125
1548633600000000000,BTC-USD,3470.450439453125
1548720000000000000,BTC-USD,3448.116943359375
1548806400000000000,BTC-USD,3486.181640625
1548892800000000000,BTC-USD,3457.792724609375
1548979200000000000,BTC-USD,3487.9453125
1549065600000000000,BTC-USD,3521.060791015625
1549152000000000000,BTC-USD,3464.013427734375
1549238400000000000,BTC-USD,3459.154052734375
1549324800000000000,BTC-USD,3466.357421875
1549411200000000000,BTC-USD,3413.767822265625
1549497600000000000,BTC-USD,3399.4716796875
1549584000000000000,BTC-USD,3666.7802734375
1549670400000000000,BTC-USD,3671.20361328125
1549756800000000000,BTC-USD,3690.188232421875
1549843200000000000,BTC-USD,3648.4306640625
1549929600000000000,BTC-USD,3653.528564453125
1550016000000000000,BTC-USD,3632.070556640625
1550102400000000000,BTC-USD,3616.880859375
1550188800000000000,BTC-USD,3620.810791015625
1550275200000000000,BTC-USD,3629.78759765625
1550361600000000000,BTC-USD,3673.836181640625
1550534400000000000,BTC-USD,3947.094482421875
1550620800000000000,BTC-USD,3999.820556640625
