ts_ns,symbol,kind,price,score
1582588800000000000,SPY,dependence_shift,54.714386025065274,3.982774673659447
1582675200000000000,SPY,dependence_shift,49.858687782566314,3.4625110443691978
1582761600000000000,SPY,dependence_shift,102.4849802098777,9.101153424302643
1582848000000000000,SPY,dependence_shift,93.58239326652702,8.147286037593716
1583107200000000000,SPY,dependence_shift,82.1310181333882,6.92032882369881
1583193600000000000,SPY,dependence_shift,72.40894351329038,5.8786574566824745
1583280000000000000,SPY,dependence_shift,94.40593939058049,8.235524860104949
1583366400000000000,SPY,dependence_shift,62.26377461871294,4.791653667472741
1583452800000000000,SPY,dependence_shift,78.07877136053756,6.486150975831151
1583712000000000000,SPY,dependence_shift,98.50496140590025,8.203639678606745
1583798400000000000,SPY,dependence_shift,100.6912721496081,8.42732326288704
1583884800000000000,SPY,dependence_shift,125.48558156212901,10.96405323830744
1583971200000000000,SPY,dependence_shift,185.78229279511805,17.133068565943443
1584057600000000000,SPY,dependence_shift,201.60915257041813,18.752330023917523
1584316800000000000,SPY,dependence_shift,203.0388780990504,18.898606637021082
1584403200000000000,SPY,dependence_shift,194.8785763292173,18.063718205018287
1584489600000000000,SPY,dependence_shift,194.9324226544548,18.069227275064303
1584576000000000000,SPY,dependence_shift,128.38828535552253,11.261031694128008
1584662400000000000,SPY,dependence_shift,124.59945755611545,10.87339302710353
1584921600000000000,SPY,dependence_shift,91.60557785139275,7.497757018862109
1585008000000000000,SPY,dependence_shift,105.20534009145858,8.889161956139523
1585094400000000000,SPY,dependence_shift,70.13358678187703,5.300936673041409
1585180800000000000,SPY,dependence_shift,89.13078620440794,7.244558672040798
1585267200000000000,SPY,dependence_shift,77.38137899758692,6.042465362681996
1585526400000000000,SPY,dependence_shift,62.72961004236802,4.543428592459693
1585699200000000000,SPY,dependence_shift,70.62822787980099,5.351543886144304
1585785600000000000,SPY,dependence_shift,67.37819194749515,5.019029540473107
1585872000000000000,SPY,dependence_shift,54.48428765601411,3.699841618268497
1646352000000000000,SPY,dependence_shift,-3.0948798951021104,-3.0705918178875318
1651622400000000000,SPY,dependence_shift,48.26210929666148,5.738187069582075
1651708800000000000,SPY,dependence_shift,66.76484105640867,8.94628425949384
1651795200000000000,SPY,dependence_shift,46.60020547041181,5.450037780918982
1652054400000000000,SPY,dependence_shift,73.9124591155698,10.185574419882066
1652140800000000000,SPY,dependence_shift,66.92757497264309,8.974499888740043
1652227200000000000,SPY,dependence_shift,50.400192239434666,6.108898701225091
1652659200000000000,SPY,dependence_shift,-2.3538492606962707,-3.037863760155967
1655078400000000000,SPY,dependence_shift,44.57758975652946,4.576641241346515
1663027200000000000,SPY,dependence_shift,41.43698332516408,3.985896337350261
1663113600000000000,SPY,dependence_shift,36.67222816451104,3.191182006710032
1663200000000000000,SPY,dependence_shift,36.43676290362143,3.151908715452131
1664841600000000000,SPY,dependence_shift,46.11524047162604,4.6380274062066515
1664928000000000000,SPY,dependence_shift,36.8100207031473,3.104419730182388
1665100800000000000,SPY,dependence_shift,37.16479045414795,3.1628898820856093
1678665600000000000,SPY,dependence_shift,-21.302498333149053,-5.9320806743453005
1678752000000000000,SPY,dependence_shift,-20.812788719266294,-5.862003914964546
1678838400000000000,SPY,dependence_shift,-24.204542745592423,-6.320418462594004
1678924800000000000,SPY,dependence_shift,-5.501078567988139,-3.6624697176684986
1679011200000000000,SPY,dependence_shift,-12.084572247495792,-4.598049811094473
