ts_ns,symbol,kind,price,score
1546819200000000000,BTC-USD,robust_z,4025.248291,-5.0935
1547078400000000000,BTC-USD,cusum,3678.924561,-21.6616
1547078400000000000,BTC-USD,robust_z,3678.924561,-19.1957
1547337600000000000,BTC-USD,cusum,3552.953125,-5.3775
1547337600000000000,BTC-USD,robust_z,3552.953125,-5.1965
1547424000000000000,BTC-USD,cusum,3706.052246,6.2990
1547424000000000000,BTC-USD,robust_z,3706.052246,6.7990
1547942400000000000,BTC-USD,robust_z,3601.013672,-4.2245
1549584000000000000,BTC-USD,cusum,3666.780273,7.0458
1549584000000000000,BTC-USD,robust_z,3666.780273,7.5458
1550534400000000000,BTC-USD,cusum,3947.094482,6.6922
1550534400000000000,BTC-USD,robust_z,3947.094482,6.3796
1550966400000000000,BTC-USD,cusum,3810.427490,-5.5916
1550966400000000000,BTC-USD,robust_z,3810.427490,-6.0916
1554163200000000000,BTC-USD,cusum,4879.877930,10.2025
1554163200000000000,BTC-USD,robust_z,4879.877930,10.2182
1557532800000000000,BTC-USD,cusum,7204.771484,7.8864
1557532800000000000,BTC-USD,robust_z,7204.771484,5.6434
1557705600000000000,BTC-USD,robust_z,7814.915039,4.5550
1558224000000000000,BTC-USD,robust_z,8197.689453,4.0565
1561507200000000000,BTC-USD,cusum,13016.231445,5.3729
1561593600000000000,BTC-USD,robust_z,11182.806641,-4.6611
1571961600000000000,BTC-USD,robust_z,8660.700195,4.8648
1572048000000000000,BTC-USD,cusum,9244.972656,5.9556
1583971200000000000,BTC-USD,cusum,4970.788086,-15.0300
1583971200000000000,BTC-USD,robust_z,4970.788086,-12.7129
1595808000000000000,BTC-USD,robust_z,10990.873047,4.3585
1599091200000000000,BTC-USD,cusum,10245.296875,-5.6612
1599091200000000000,BTC-USD,robust_z,10245.296875,-4.4191
1604534400000000000,BTC-USD,robust_z,15579.848633,4.2274
1609891200000000000,BTC-USD,cusum,36824.363281,5.0129
1610409600000000000,BTC-USD,cusum,33922.960938,-5.0622
1621382400000000000,BTC-USD,cusum,37002.441406,-6.3830
1646006400000000000,BTC-USD,robust_z,43193.234375,4.3158
1652054400000000000,BTC-USD,cusum,30296.953125,-5.7847
1655078400000000000,BTC-USD,cusum,22487.388672,-5.5870
1655078400000000000,BTC-USD,robust_z,22487.388672,-4.4623
1667865600000000000,BTC-USD,robust_z,18541.271484,-4.2682
1667952000000000000,BTC-USD,cusum,15880.780273,-9.1842
1667952000000000000,BTC-USD,robust_z,15880.780273,-5.4534
1673568000000000000,BTC-USD,cusum,19909.574219,5.5077
1678665600000000000,BTC-USD,cusum,24197.533203,5.9216
