Date,XLK,XLF,XLE,XLV,SPY,TLT,GLD,HYG
2019-01-03,-0.05178548089149959,-0.02273796682262448,-0.009967769488584083,-0.02051423094437933,-0.0241520802270345,0.011315616977521285,0.00902531942317299,0.0004933982399822517
2019-01-04,0.04336572786660376,0.03267995573712663,0.03345824065019713,0.029395117391764345,0.03294673851384706,-0.011642646767309327,-0.008119106827353268,0.01664503733388222
2019-01-07,0.00890323689778559,0.0012358724412452093,0.014756047365129997,0.0038315208505181604,0.007853926874502405,-0.0029527090314988556,0.0034525160778516237,0.009662848963457472
2019-01-08,0.008345498350994301,0.0008232772942777714,0.0077056327977426614,0.0077344792585728895,0.009351467624565929,-0.002631635126635453,-0.0027117139907279018,0.006469900256637311
2019-01-09,0.012862494314776318,0.004923868317500381,0.015717534242469713,0.004474766721250276,0.004662565667810507,-0.001566079706334413,0.006397649700215412,0.0011937501582784072
2019-01-10,0.004408202811999938,0.00040940917973543916,0.0028899359309309766,0.0019444877181574382,0.0035211915964085162,-0.006454417647996689,-0.005904086348646452,0.0039290355973180474
2019-01-11,-0.0018867958532226415,0.0024518694295345114,-0.005949005503758688,0.003308030168844997,0.0003862165296905625,0.003893998719199549,0.0017256811414607263,-0.003213321929487137
2019-01-14,-0.009328963383922903,0.00691493708080286,-0.0024217274400071746,-0.011107875715073753,-0.006119637806716886,-0.0037278417505784284,0.002378067354322114,-0.0032240158171509712
2019-01-15,0.01497851312155831,0.008878126672167285,0.003550061455317071,0.017804121574995672,0.011395669062951674,-0.0036587233145748393,-0.0017215161032263467,0.003343340718956512
2019-01-16,0.000938751134865815,0.02107012845448726,-0.0012893730658392105,-0.001811681934676783,0.0024170742378905362,0.0009990768500265572,0.0031947551186356582,0.001547661484073561
2019-01-17,0.006389665008103994,0.005492366442737685,0.009150997289564457,0.00880102607678673,0.007558031902564079,0.0002496133287294361,-0.0013094038577051105,0.0027338565896638666
2019-01-18,0.015109996199065789,0.01706788071713121,0.020094418294898626,0.011836933023626098,0.01322235302975892,-0.005255792951276574,-0.008966489387798326,0.0028442835118807413
2019-01-22,-0.016975961473422903,-0.011605600817963305,-0.02201372580150034,-0.006906332135548115,-0.013602787618251814,0.006752165894132827,0.0035468368649853345,-0.0066493788414305425
2019-01-23,0.0034183126120268478,0.001166495319777173,-0.010301068071485715,0.0011169939844408116,0.0020903754073884916,-0.0004151230530346602,-0.0014007184915951448,0.0020229179914210407
2019-01-24,0.008341211901045276,0.0023297650332890648,0.005324797539979095,-0.008409387738772296,0.0005312237069676354,0.0065441578353281765,-0.0015678713054947328,0.0010694079053574885
