Date,XLK,XLF,XLE,XLV,SPY,TLT,GLD,HYG
2019-01-02,29.032197952270508,20.933622360229492,21.123754501342773,75.27327728271484,224.38255310058594,99.44597625732422,121.33000183105469,55.119564056396484
2019-01-03,27.5670166015625,20.46300506591797,20.914243698120117,73.74483489990234,219.02816772460938,100.5776596069336,122.43000030517578,55.146766662597656
2019-01-04,28.788780212402344,21.14278221130371,21.625835418701172,75.94474792480469,226.3646240234375,99.41345977783203,121.44000244140625,56.07236862182617
2019-01-07,29.04623794555664,21.168928146362305,21.94731330871582,76.23628997802734,228.14947509765625,99.12035369873047,121.86000061035156,56.61681365966797
2019-01-08,29.289657592773438,21.186363220214844,22.117084503173828,76.8282241821289,230.2930145263672,98.85984802246094,121.52999877929688,56.98430633544922
2019-01-09,29.6688289642334,21.290939331054688,22.467456817626953,77.17278289794922,231.36927795410156,98.70514678955078,122.30999755859375,57.052371978759766
2019-01-10,29.799903869628906,21.299657821655273,22.532480239868164,77.32299041748047,232.18540954589844,98.07011413574219,121.58999633789062,57.276973724365234
2019-01-11,29.743730545043945,21.351945877075195,22.398832321166992,77.5792007446289,232.2751007080078,98.45274353027344,121.80000305175781,57.09321975708008
2019-01-14,29.46754264831543,21.500104904174805,22.344654083251953,76.72222900390625,230.85800170898438,98.08641052246094,122.08999633789062,56.909446716308594
2019-01-15,29.91224479675293,21.691835403442383,22.42411994934082,78.10043334960938,233.5038299560547,97.72819519042969,121.87999725341797,57.100032806396484
2019-01-16,29.940338134765625,22.15373420715332,22.395225524902344,77.95906829833984,234.06890869140625,97.82588195800781,122.2699966430664,57.188472747802734
2019-01-17,30.132259368896484,22.275745391845703,22.601104736328125,78.6482162475586,235.84471130371094,97.85030364990234,122.11000061035156,57.34503173828125
2019-01-18,30.591014862060547,22.659208297729492,23.05985450744629,79.58470153808594,238.9838409423828,97.33737182617188,121.0199966430664,57.50836944580078
