Date,XLK,XLF,SPY,TLT,GLD,HYG,BTC-USD,ETH-USD
2019-01-02,29.032197952270508,20.933622360229492,224.38255310058594,99.44597625732422,121.33000183105469,55.119564056396484,3943.409423828125,155.0476837158203
2019-01-03,27.5670166015625,20.46300506591797,219.02816772460938,100.5776596069336,122.43000030517578,55.146766662597656,3836.7412109375,149.135009765625
2019-01-04,28.788780212402344,21.14278221130371,226.3646240234375,99.41345977783203,121.44000244140625,56.07236862182617,3857.717529296875,154.58193969726562
2019-01-05,28.788780212402344,21.14278221130371,226.3646240234375,99.41345977783203,121.44000244140625,56.07236862182617,3845.194580078125,155.6385955810547
2019-01-06,28.788780212402344,21.14278221130371,226.3646240234375,99.41345977783203,121.44000244140625,56.07236862182617,4076.632568359375,157.74620056152344
2019-01-07,29.04623794555664,21.168928146362305,228.14947509765625,99.12035369873047,121.86000061035156,56.61681365966797,4025.248291015625,151.69921875
2019-01-08,29.289657592773438,21.186363220214844,230.2930145263672,98.85984802246094,121.52999877929688,56.98430633544922,4030.847900390625,150.35963439941406
2019-01-09,29.6688289642334,21.290939331054688,231.36927795410156,98.70514678955078,122.30999755859375,57.052371978759766,4035.29638671875,150.80311584472656
2019-01-10,29.799903869628906,21.299657821655273,232.18540954589844,98.07011413574219,121.58999633789062,57.276973724365234,3678.924560546875,128.62518310546875
2019-01-11,29.743730545043945,21.351945877075195,232.2751007080078,98.45274353027344,121.80000305175781,57.09321975708008,3687.365478515625,127.54832458496094
2019-01-12,29.743730545043945,21.351945877075195,232.2751007080078,98.45274353027344,121.80000305175781,57.09321975708008,3661.301025390625,125.9665298461914
2019-01-13,29.743730545043945,21.351945877075195,232.2751007080078,98.45274353027344,121.80000305175781,57.09321975708008,3552.953125,116.8978042602539
2019-01-14,29.46754264831543,21.500104904174805,230.85800170898438,98.08641052246094,122.08999633789062,56.909446716308594,3706.05224609375,129.0687255859375
2019-01-15,29.91224479675293,21.691835403442383,233.5038299560547,97.72819519042969,121.87999725341797,57.100032806396484,3630.67529296875,122.03271484375
2019-01-16,29.940338134765625,22.15373420715332,234.06890869140625,97.82588195800781,122.2699966430664,57.188472747802734,3655.0068359375,123.54706573486328
2019-01-17,30.132259368896484,22.275745391845703,235.84471130371094,97.85030364990234,122.11000061035156,57.34503173828125,3678.56396484375,123.7419204711914
2019-01-18,30.591014862060547,22.659208297729492,238.9838409423828,97.33737182617188,121.0199966430664,57.50836944580078,3657.83935546875,121.01026153564453
2019-01-19,30.591014862060547,22.659208297729492,238.9838409423828,97.33737182617188,121.0199966430664,57.50836944580078,3728.568359375,124.5190200805664
2019-01-20,30.591014862060547,22.659208297729492,238.9838409423828,97.33737182617188,121.0199966430664,57.50836944580078,3601.013671875,119.4748306274414
2019-01-22,30.076086044311523,22.397754669189453,235.7550048828125,97.99683380126953,121.44999694824219,57.12724304199219,3604.5771484375,118.74755096435547
2019-01-23,30.1790714263916,22.42389678955078,236.2483367919922,97.95616149902344,121.27999877929688,57.242923736572266,3585.123046875,117.45260620117188
2019-01-24,30.431854248046875,22.476200103759766,236.37387084960938,98.59930419921875,121.08999633789062,57.30417251586914,3600.865478515625,117.36288452148438
2019-01-25,30.862516403198242,22.659208297729492,238.37391662597656,98.12716674804688,122.86000061035156,57.447113037109375,3599.765869140625,116.37834167480469
2019-01-26,30.862516403198242,22.659208297729492,238.37391662597656,98.12716674804688,122.86000061035156,57.447113037109375,3602.46044921875,116.48873901367188
2019-01-27,30.862516403198242,22.659208297729492,238.37391662597656,98.12716674804688,122.86000061035156,57.447113037109375,3583.9658203125,113.40528869628906
2019-01-28,30.450576782226562,22.589487075805664,236.56222534179688,98.02942657470703,123.29000091552734,57.358638763427734,3470.450439453125,106.58997344970703
2019-01-29,30.122896194458008,22.51105499267578,236.2483367919922,98.52603912353516,123.9800033569336,57.324615478515625,3448.116943359375,105.59821319580078
2019-01-30,31.05911636352539,22.64177703857422,239.9883575439453,98.45274353027344,124.69000244140625,57.78060531616211,3486.181640625,108.90753936767578
2019-01-31,31.026348114013672,22.60692024230957,242.0959930419922,99.29946899414062,124.75,57.92353057861328,3457.792724609375,107.0610122680664
2019-02-01,31.208921432495117,22.702783584594727,242.2126007080078,98.69972229003906,124.5,57.895469665527344,3487.9453125,107.60978698730469
2019-02-02,31.208921432495117,22.702783584594727,242.2126007080078,98.69972229003906,124.5,57.895469665527344,3521.060791015625,110.43025970458984
2019-02-03,31.208921432495117,22.702783584594727,242.2126007080078,98.69972229003906,124.5,57.895469665527344,3464.013427734375,107.49266815185547
2019-02-04,31.709789276123047,22.79865074157715,243.91668701171875,98.25912475585938,123.95999908447266,58.03221130371094,3459.154052734375,107.82160186767578
2019-02-05,31.976619720458984,22.737646102905273,244.93914794921875,98.70787811279297,124.27999877929688,58.23731994628906,3466.357421875,107.44351959228516
